USER         PID %CPU %MEM     TIME COMMAND
root           1  0.0  0.2 00:00:07 /lib/systemd/systemd --system --deserialize=47 splash
root           2  0.0  0.0 00:00:00 [kthreadd]
root           3  0.0  0.0 00:00:00 [rcu_gp]
root           4  0.0  0.0 00:00:00 [rcu_par_gp]
root           5  0.0  0.0 00:00:00 [slub_flushwq]
root           6  0.0  0.0 00:00:00 [netns]
root          11  0.0  0.0 00:00:00 [mm_percpu_wq]
root          12  0.0  0.0 00:00:00 [rcu_tasks_kthread]
root          13  0.0  0.0 00:00:00 [rcu_tasks_rude_kthread]
root          14  0.0  0.0 00:00:00 [rcu_tasks_trace_kthread]
root          15  0.0  0.0 00:00:01 [ksoftirqd/0]
root          16  0.0  0.0 00:00:29 [rcu_preempt]
root          17  0.0  0.0 00:00:00 [migration/0]
root          18  0.0  0.0 00:00:00 [idle_inject/0]
root          19  0.0  0.0 00:00:00 [cpuhp/0]
root          20  0.0  0.0 00:00:00 [cpuhp/1]
root          21  0.0  0.0 00:00:00 [idle_inject/1]
root          22  0.0  0.0 00:00:01 [migration/1]
root          23  0.0  0.0 00:00:01 [ksoftirqd/1]
root          26  0.0  0.0 00:00:00 [cpuhp/2]
root          27  0.0  0.0 00:00:00 [idle_inject/2]
root          28  0.0  0.0 00:00:01 [migration/2]
root          29  0.0  0.0 00:00:02 [ksoftirqd/2]
root          32  0.0  0.0 00:00:00 [cpuhp/3]
root          33  0.0  0.0 00:00:00 [idle_inject/3]
root          34  0.0  0.0 00:00:02 [migration/3]
root          35  0.0  0.0 00:00:09 [ksoftirqd/3]
root          38  0.0  0.0 00:00:00 [kdevtmpfs]
root          39  0.0  0.0 00:00:00 [inet_frag_wq]
root          41  0.0  0.0 00:00:00 [kauditd]
root          42  0.0  0.0 00:00:00 [khungtaskd]
root          43  0.0  0.0 00:00:00 [oom_reaper]
root          45  0.0  0.0 00:00:00 [writeback]
root          46  0.0  0.0 00:00:05 [kcompactd0]
root          47  0.0  0.0 00:00:00 [ksmd]
root          49  0.0  0.0 00:00:00 [khugepaged]
root          50  0.0  0.0 00:00:00 [kintegrityd]
root          51  0.0  0.0 00:00:00 [kblockd]
root          52  0.0  0.0 00:00:00 [blkcg_punt_bio]
root          55  0.0  0.0 00:00:00 [tpm_dev_wq]
root          56  0.0  0.0 00:00:00 [ata_sff]
root          57  0.0  0.0 00:00:00 [md]
root          58  0.0  0.0 00:00:00 [md_bitmap]
root          59  0.0  0.0 00:00:00 [edac-poller]
root          60  0.0  0.0 00:00:00 [devfreq_wq]
root          61  0.0  0.0 00:00:00 [watchdogd]
root          63  0.0  0.0 00:00:03 [kswapd0]
root          64  0.0  0.0 00:00:00 [ecryptfs-kthread]
root          65  0.0  0.0 00:00:00 [kthrotld]
root          66  0.0  0.0 00:00:00 [acpi_thermal_pm]
root          67  0.0  0.0 00:00:00 [scsi_eh_0]
root          68  0.0  0.0 00:00:00 [scsi_tmf_0]
root          69  0.0  0.0 00:00:00 [scsi_eh_1]
root          70  0.0  0.0 00:00:00 [scsi_tmf_1]
root          74  0.0  0.0 00:00:00 [mld]
root          75  0.0  0.0 00:00:00 [ipv6_addrconf]
root          83  0.0  0.0 00:00:00 [kstrp]
root          85  0.0  0.0 00:00:00 [kworker/u9:0]
root          89  0.0  0.0 00:00:00 [charger_manager]
root         152  0.0  0.0 00:00:00 [scsi_eh_2]
root         153  0.0  0.0 00:00:00 [scsi_tmf_2]
root         178  0.0  0.0 00:00:05 [jbd2/sda2-8]
root         179  0.0  0.0 00:00:00 [ext4-rsv-conver]
root         223  0.0  0.3 00:00:04 /lib/systemd/systemd-journald
root         260  0.1  0.0 00:00:42 [irq/18-vmwgfx]
root         261  0.0  0.0 00:00:00 [ttm]
root         262  0.0  0.1 00:00:00 /lib/systemd/systemd-udevd
root         347  0.0  0.0 00:00:00 [cryptd]
systemd+     627  0.1  0.1 00:00:36 /lib/systemd/systemd-oomd
systemd+     649  0.0  0.2 00:00:03 /lib/systemd/systemd-resolved
systemd+     652  0.0  0.1 00:00:00 /lib/systemd/systemd-timesyncd
avahi        695  0.0  0.0 00:00:00 avahi-daemon: running [mstf-1-2.local]
message+     696  0.0  0.1 00:00:06 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         716  0.0  0.0 00:00:01 /usr/sbin/irqbalance --foreground
polkitd      721  0.0  0.1 00:00:01 /usr/lib/polkit-1/polkitd --no-debug
root         722  0.0  0.1 00:00:00 /usr/libexec/power-profiles-daemon
root         726  0.1  0.4 00:00:40 /usr/lib/snapd/snapd
root         730  0.0  0.1 00:00:01 /usr/libexec/accounts-daemon
root         731  0.0  0.0 00:00:00 /usr/sbin/cron -f -P
root         734  0.0  0.1 00:00:00 /usr/libexec/switcheroo-control
root         740  0.0  0.1 00:00:00 /lib/systemd/systemd-logind
root         741  0.0  0.2 00:00:01 /usr/libexec/udisks2/udisksd
avahi        753  0.0  0.0 00:00:00 avahi-daemon: chroot helper
root         755  0.0  0.3 00:00:02 /usr/sbin/NetworkManager --no-daemon
root         756  0.0  0.0 00:00:00 /sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog       776  0.0  0.0 00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         808  0.0  0.1 00:00:00 /usr/sbin/ModemManager
root         965  0.0  0.3 00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
kernoops     989  0.0  0.0 00:00:00 /usr/sbin/kerneloops --test
kernoops     998  0.0  0.0 00:00:00 /usr/sbin/kerneloops
root        1573  0.0  0.0 00:00:17 /usr/bin/VBoxDRMClient
root        1575  0.0  0.0 00:00:08 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root        2094  0.0  0.1 00:00:00 /usr/sbin/gdm3
root        2100  0.0  0.1 00:00:00 gdm-session-worker [pam/gdm-autologin]
mstf        2106  0.0  0.2 00:00:03 /lib/systemd/systemd --user
mstf        2107  0.0  0.1 00:00:00 (sd-pam)
mstf        2113  0.0  0.2 00:00:06 /usr/bin/pipewire
mstf        2114  0.0  0.0 00:00:00 /usr/bin/pipewire -c filter-chain.conf
mstf        2123  0.0  0.2 00:00:01 /usr/bin/wireplumber
mstf        2125  0.0  0.3 00:00:02 /usr/bin/pipewire-pulse
mstf        2127  0.0  0.1 00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
mstf        2142  0.0  0.1 00:00:08 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       2160  0.0  0.0 00:00:00 /usr/libexec/rtkit-daemon
mstf        2168  0.0  0.1 00:00:00 /usr/libexec/xdg-document-portal
mstf        2172  0.0  0.0 00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
